eidolon_of_the_great_revel;boros_charm;goblin_guide;sacred_foundry;eidolon_of_the_great_revel;inspiring_vantage;eidolon_of_the_great_revel;1
goblin_guide;skullcrack;monastery_swiftspear;skullcrack;skullcrack;monastery_swiftspear;lightning_bolt;0
wooded_foothills;searing_blaze;goblin_guide;wooded_foothills;wooded_foothills;eidolon_of_the_great_revel;skullcrack;1
stomping_ground;lightning_helix;rift_bolt;inspiring_vantage;skullcrack;mountain;boros_charm;1
searing_blaze;lava_spike;lightning_bolt;rift_bolt;skullcrack;stomping_ground;lava_spike;0
boros_charm;lightning_helix;sacred_foundry;mountain;inspiring_vantage;goblin_guide;lightning_bolt;1
eidolon_of_the_great_revel;inspiring_vantage;goblin_guide;monastery_swiftspear;lightning_bolt;lightning_bolt;rift_bolt;0
skullcrack;inspiring_vantage;inspiring_vantage;boros_charm;skullcrack;bloodstained_mire;searing_blaze;0
boros_charm;lightning_helix;wooded_foothills;bloodstained_mire;skullcrack;searing_blaze;goblin_guide;1
eidolon_of_the_great_revel;wooded_foothills;monastery_swiftspear;eidolon_of_the_great_revel;lightning_helix;boros_charm;stomping_ground;1
monastery_swiftspear;rift_bolt;sacred_foundry;mountain;wooded_foothills;eidolon_of_the_great_revel;goblin_guide;0
searing_blaze;inspiring_vantage;wooded_foothills;boros_charm;rift_bolt;monastery_swiftspear;eidolon_of_the_great_revel;1
skullcrack;mountain;arid_mesa;goblin_guide;rift_bolt;lightning_bolt;boros_charm;1
arid_mesa;lava_spike;eidolon_of_the_great_revel;wooded_foothills;wooded_foothills;boros_charm;monastery_swiftspear;1
searing_blaze;eidolon_of_the_great_revel;monastery_swiftspear;boros_charm;wooded_foothills;lightning_helix;lava_spike;0
boros_charm;lightning_helix;lava_spike;rift_bolt;wooded_foothills;lightning_bolt;rift_bolt;0
wooded_foothills;bloodstained_mire;eidolon_of_the_great_revel;sacred_foundry;bloodstained_mire;lava_spike;monastery_swiftspear;0
eidolon_of_the_great_revel;mountain;inspiring_vantage;rift_bolt;eidolon_of_the_great_revel;skullcrack;sacred_foundry;0
mountain;arid_mesa;searing_blaze;wooded_foothills;goblin_guide;lava_spike;rift_bolt;1
sacred_foundry;goblin_guide;bloodstained_mire;bloodstained_mire;lava_spike;bloodstained_mire;eidolon_of_the_great_revel;0
goblin_guide;lava_spike;boros_charm;searing_blaze;eidolon_of_the_great_revel;boros_charm;searing_blaze;0
skullcrack;eidolon_of_the_great_revel;skullcrack;inspiring_vantage;monastery_swiftspear;rift_bolt;bloodstained_mire;1
lightning_helix;eidolon_of_the_great_revel;searing_blaze;rift_bolt;skullcrack;arid_mesa;lightning_bolt;0
skullcrack;goblin_guide;lightning_bolt;eidolon_of_the_great_revel;lightning_helix;lightning_bolt;skullcrack;0
wooded_foothills;skullcrack;boros_charm;boros_charm;boros_charm;bloodstained_mire;monastery_swiftspear;1
eidolon_of_the_great_revel;goblin_guide;wooded_foothills;skullcrack;inspiring_vantage;lightning_helix;searing_blaze;1
sacred_foundry;lightning_bolt;mountain;searing_blaze;searing_blaze;goblin_guide;eidolon_of_the_great_revel;1
lightning_helix;boros_charm;goblin_guide;lightning_helix;mountain;stomping_ground;lightning_bolt;0
sacred_foundry;goblin_guide;bloodstained_mire;lightning_helix;goblin_guide;mountain;lightning_bolt;1
rift_bolt;sacred_foundry;monastery_swiftspear;skullcrack;lightning_bolt;bloodstained_mire;stomping_ground;1
lightning_bolt;eidolon_of_the_great_revel;inspiring_vantage;searing_blaze;lightning_helix;inspiring_vantage;skullcrack;1
sacred_foundry;searing_blaze;arid_mesa;skullcrack;lightning_bolt;monastery_swiftspear;goblin_guide;1
lightning_helix;mountain;wooded_foothills;monastery_swiftspear;goblin_guide;lightning_helix;boros_charm;1
monastery_swiftspear;rift_bolt;lava_spike;sacred_foundry;lightning_bolt;lightning_bolt;inspiring_vantage;1
boros_charm;lava_spike;lightning_helix;bloodstained_mire;monastery_swiftspear;goblin_guide;goblin_guide;0
wooded_foothills;monastery_swiftspear;lightning_bolt;searing_blaze;rift_bolt;lightning_bolt;lava_spike;0
wooded_foothills;arid_mesa;mountain;goblin_guide;goblin_guide;eidolon_of_the_great_revel;lightning_helix;1
sacred_foundry;sacred_foundry;rift_bolt;lava_spike;lightning_bolt;lightning_bolt;boros_charm;1
wooded_foothills;rift_bolt;rift_bolt;lightning_bolt;eidolon_of_the_great_revel;eidolon_of_the_great_revel;lightning_helix;0
sacred_foundry;arid_mesa;mountain;monastery_swiftspear;goblin_guide;lightning_bolt;searing_blaze;1
inspiring_vantage;mountain;lava_spike;lightning_bolt;lightning_bolt;searing_blaze;skullcrack;1
inspiring_vantage;mountain;rift_bolt;searing_blaze;eidolon_of_the_great_revel;eidolon_of_the_great_revel;skullcrack;1
goblin_guide;rift_bolt;lightning_bolt;searing_blaze;eidolon_of_the_great_revel;skullcrack;boros_charm;0
inspiring_vantage;mountain;mountain;stomping_ground;monastery_swiftspear;goblin_guide;lava_spike;0
bloodstained_mire;wooded_foothills;stomping_ground;monastery_swiftspear;lava_spike;eidolon_of_the_great_revel;boros_charm;1
inspiring_vantage;mountain;monastery_swiftspear;goblin_guide;lightning_bolt;boros_charm;boros_charm;1
inspiring_vantage;sacred_foundry;rift_bolt;lava_spike;searing_blaze;searing_blaze;boros_charm;1
inspiring_vantage;arid_mesa;goblin_guide;rift_bolt;lightning_bolt;lightning_bolt;searing_blaze;1
bloodstained_mire;wooded_foothills;arid_mesa;monastery_swiftspear;goblin_guide;rift_bolt;searing_blaze;1
bloodstained_mire;stomping_ground;monastery_swiftspear;goblin_guide;rift_bolt;lightning_bolt;eidolon_of_the_great_revel;1
monastery_swiftspear;goblin_guide;lava_spike;searing_blaze;lightning_helix;lightning_helix;boros_charm;0
bloodstained_mire;arid_mesa;goblin_guide;rift_bolt;lava_spike;searing_blaze;eidolon_of_the_great_revel;1
inspiring_vantage;inspiring_vantage;sacred_foundry;bloodstained_mire;stomping_ground;lightning_bolt;lightning_helix;0
inspiring_vantage;wooded_foothills;mountain;monastery_swiftspear;monastery_swiftspear;goblin_guide;lightning_helix;1
inspiring_vantage;sacred_foundry;bloodstained_mire;monastery_swiftspear;goblin_guide;eidolon_of_the_great_revel;boros_charm;1
bloodstained_mire;bloodstained_mire;wooded_foothills;rift_bolt;lava_spike;lightning_helix;skullcrack;1
bloodstained_mire;mountain;goblin_guide;goblin_guide;lava_spike;lightning_bolt;boros_charm;1
bloodstained_mire;wooded_foothills;mountain;goblin_guide;lightning_bolt;lightning_helix;boros_charm;1
monastery_swiftspear;monastery_swiftspear;rift_bolt;rift_bolt;lava_spike;lightning_bolt;lightning_bolt;0
bloodstained_mire;lava_spike;lightning_bolt;eidolon_of_the_great_revel;lightning_helix;skullcrack;boros_charm;0
sacred_foundry;bloodstained_mire;arid_mesa;monastery_swiftspear;lightning_bolt;eidolon_of_the_great_revel;eidolon_of_the_great_revel;1
inspiring_vantage;rift_bolt;lightning_bolt;lightning_helix;skullcrack;boros_charm;boros_charm;0
inspiring_vantage;sacred_foundry;bloodstained_mire;mountain;goblin_guide;eidolon_of_the_great_revel;eidolon_of_the_great_revel;0
sacred_foundry;rift_bolt;rift_bolt;lightning_bolt;searing_blaze;eidolon_of_the_great_revel;boros_charm;0
inspiring_vantage;wooded_foothills;rift_bolt;rift_bolt;searing_blaze;searing_blaze;eidolon_of_the_great_revel;1
bloodstained_mire;bloodstained_mire;arid_mesa;lightning_bolt;searing_blaze;eidolon_of_the_great_revel;boros_charm;1
inspiring_vantage;sacred_foundry;bloodstained_mire;wooded_foothills;goblin_guide;lightning_bolt;lightning_helix;0
bloodstained_mire;goblin_guide;rift_bolt;rift_bolt;searing_blaze;lightning_helix;skullcrack;0
inspiring_vantage;bloodstained_mire;bloodstained_mire;monastery_swiftspear;goblin_guide;skullcrack;skullcrack;1
mountain;rift_bolt;lava_spike;eidolon_of_the_great_revel;eidolon_of_the_great_revel;lightning_helix;skullcrack;0
inspiring_vantage;bloodstained_mire;bloodstained_mire;eidolon_of_the_great_revel;skullcrack;boros_charm;boros_charm;0
sacred_foundry;mountain;monastery_swiftspear;monastery_swiftspear;goblin_guide;lightning_bolt;lightning_bolt;1
inspiring_vantage;mountain;rift_bolt;rift_bolt;lava_spike;skullcrack;skullcrack;1
inspiring_vantage;sacred_foundry;arid_mesa;monastery_swiftspear;lightning_bolt;eidolon_of_the_great_revel;skullcrack;1
inspiring_vantage;bloodstained_mire;lightning_bolt;lightning_bolt;searing_blaze;eidolon_of_the_great_revel;skullcrack;1
goblin_guide;goblin_guide;lightning_helix;skullcrack;skullcrack;skullcrack;boros_charm;0
mountain;monastery_swiftspear;rift_bolt;rift_bolt;lightning_helix;skullcrack;boros_charm;0
inspiring_vantage;wooded_foothills;arid_mesa;monastery_swiftspear;lightning_bolt;searing_blaze;eidolon_of_the_great_revel;1
inspiring_vantage;wooded_foothills;wooded_foothills;wooded_foothills;lightning_bolt;skullcrack;boros_charm;0
wooded_foothills;wooded_foothills;arid_mesa;monastery_swiftspear;goblin_guide;lightning_bolt;searing_blaze;1
bloodstained_mire;wooded_foothills;rift_bolt;lava_spike;searing_blaze;boros_charm;boros_charm;1
inspiring_vantage;inspiring_vantage;bloodstained_mire;monastery_swiftspear;monastery_swiftspear;rift_bolt;lightning_bolt;1
inspiring_vantage;bloodstained_mire;wooded_foothills;rift_bolt;lava_spike;lightning_bolt;lightning_helix;1
monastery_swiftspear;monastery_swiftspear;goblin_guide;lightning_bolt;eidolon_of_the_great_revel;eidolon_of_the_great_revel;eidolon_of_the_great_revel;0
inspiring_vantage;wooded_foothills;arid_mesa;monastery_swiftspear;rift_bolt;lava_spike;boros_charm;1
arid_mesa;arid_mesa;mountain;rift_bolt;rift_bolt;lightning_helix;skullcrack;1
